"region","Freq"
"USA","1320"
"UK","114"
"AUSTRALIA","96"
"CANADA","94"
"BRAZIL","73"
"GERMANY","70"
"ITALY","61"
"SOUTH AFRICA","58"
"SPAIN","51"
"FRANCE","48"
"SWITZERLAND","48"
"ARGENTINA","46"
"INDIA","42"
"CHINA","33"
"NETHERLANDS","28"
"NORWAY","25"
"MALAYSIA","24"
"NEPAL","24"
"COLOMBIA","22"
"MEXICO","22"
"JAPAN","20"
"BOTSWANA","19"
"NEW ZEALAND","18"
"PORTUGAL","18"
"CHILE","16"
"ROMANIA","13"
"SWEDEN","13"
"KENYA","11"
"PAKISTAN","10"
"PANAMA","10"
"HUNGARY","8"
"FINLAND","7"
"BHUTAN","6"
"ECUADOR","6"
"IRELAND","6"
"PERU","6"
"RWANDA","6"
"TANZANIA","6"
"DENMARK","5"
"INDONESIA","5"
"MADAGASCAR","5"
"POLAND","5"
"THAILAND","5"
"BELGIUM","4"
"CAMBODIA","4"
"MONGOLIA","4"
"VIETNAM","4"
"GHANA","3"
"BANGLADESH","2"
"COSTA RICA","2"
"GREECE","2"
"ISRAEL","2"
"PARAGUAY","2"
"SINGAPORE","2"
"UGANDA","2"
"BELIZE","1"
"BOLIVIA","1"
"CAMEROON","1"
"CUBA","1"
"CYPRUS","1"
"CZECH REPUBLIC","1"
"ETHIOPIA","1"
"GABON","1"
"IRAN","1"
"LAOS","1"
"MOZAMBIQUE","1"
"MYANMAR","1"
"NAMIBIA","1"
"SENEGAL","1"
"SLOVENIA","1"
"TAJIKISTAN","1"
"TURKEY","1"